/usr/bin/hadoop
2018-06-08 01:13:51 WARN  NativeCodeLoader:60 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2018-06-08 01:13:52 INFO  SparkContext:54 - Running Spark version 2.3.0
2018-06-08 01:13:52 INFO  SparkContext:54 - Submitted application: spark_knn_nslkdd
2018-06-08 01:13:52 INFO  SecurityManager:54 - Changing view acls to: dhoogla
2018-06-08 01:13:52 INFO  SecurityManager:54 - Changing modify acls to: dhoogla
2018-06-08 01:13:52 INFO  SecurityManager:54 - Changing view acls groups to: 
2018-06-08 01:13:52 INFO  SecurityManager:54 - Changing modify acls groups to: 
2018-06-08 01:13:52 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(dhoogla); groups with view permissions: Set(); users  with modify permissions: Set(dhoogla); groups with modify permissions: Set()
2018-06-08 01:13:52 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 42341.
2018-06-08 01:13:52 INFO  SparkEnv:54 - Registering MapOutputTracker
2018-06-08 01:13:52 INFO  SparkEnv:54 - Registering BlockManagerMaster
2018-06-08 01:13:52 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2018-06-08 01:13:52 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2018-06-08 01:13:52 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-5c878747-446c-49ef-9b6c-22f1f8e4ff64
2018-06-08 01:13:52 INFO  MemoryStore:54 - MemoryStore started with capacity 6.2 GB
2018-06-08 01:13:52 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2018-06-08 01:13:52 INFO  log:192 - Logging initialized @1709ms
2018-06-08 01:13:52 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2018-06-08 01:13:52 INFO  Server:414 - Started @1754ms
2018-06-08 01:13:52 INFO  AbstractConnector:278 - Started ServerConnector@6f718049{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2018-06-08 01:13:52 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2018-06-08 01:13:52 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@170f5292{/jobs,null,AVAILABLE,@Spark}
2018-06-08 01:13:52 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@21ffabdb{/jobs/json,null,AVAILABLE,@Spark}
2018-06-08 01:13:52 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@b84bf{/jobs/job,null,AVAILABLE,@Spark}
2018-06-08 01:13:52 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5b78b3e5{/jobs/job/json,null,AVAILABLE,@Spark}
2018-06-08 01:13:52 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7056a22{/stages,null,AVAILABLE,@Spark}
2018-06-08 01:13:52 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5bf72801{/stages/json,null,AVAILABLE,@Spark}
2018-06-08 01:13:52 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5eae0d94{/stages/stage,null,AVAILABLE,@Spark}
2018-06-08 01:13:52 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@e7ac6d9{/stages/stage/json,null,AVAILABLE,@Spark}
2018-06-08 01:13:52 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2016a82f{/stages/pool,null,AVAILABLE,@Spark}
2018-06-08 01:13:52 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5b6ba880{/stages/pool/json,null,AVAILABLE,@Spark}
